Date,Gross Units Sold,Chargeback/Returns,Net Units Sold,Net Steam Sales (USD)
11/1/2016,37,2,35,507.27
11/2/2016,29,4,25,426.24
11/3/2016,23,4,19,333.30
11/4/2016,25,4,21,334.39
11/5/2016,58,6,52,875.63
11/6/2016,40,5,35,545.00
11/7/2016,24,3,21,362.65
11/8/2016,26,8,18,283.08
11/9/2016,32,4,28,525.85
11/10/2016,27,4,23,343.83
11/11/2016,39,0,39,664.62
11/12/2016,37,7,30,495.33
11/13/2016,38,4,34,562.99
11/14/2016,22,3,19,289.60
11/15/2016,13,3,10,154.62
11/16/2016,25,2,23,365.98
11/17/2016,14,2,12,149.59
11/18/2016,20,3,17,230.13
11/19/2016,27,4,23,347.90
11/20/2016,19,3,16,217.03
11/21/2016,21,1,20,327.85
11/22/2016,14,2,12,181.89
11/23/2016,20,3,17,267.25
11/24/2016,16,1,15,225.94
11/25/2016,22,3,19,253.91
11/26/2016,26,2,24,375.52
11/27/2016,24,1,23,367.63
11/28/2016,14,2,12,186.19
11/29/2016,17,1,16,240.43
11/30/2016,7,1,6,72.61
12/1/2016,18,4,14,229.97
12/2/2016,20,2,18,266.42
12/3/2016,21,1,20,315.73
12/4/2016,33,3,30,495.99
12/5/2016,14,3,11,164.21
12/6/2016,16,0,16,216.36
12/7/2016,11,0,11,151.15
12/8/2016,15,0,15,215.56
12/9/2016,26,4,22,318.75
12/10/2016,34,1,33,480.02
12/11/2016,28,2,26,419.56
12/12/2016,15,1,14,218.45
12/13/2016,21,2,19,238.25
12/14/2016,18,2,16,249.19
12/15/2016,15,3,12,204.81
12/16/2016,21,2,19,274.49
12/17/2016,26,2,24,395.99
12/18/2016,19,0,19,325.45
12/19/2016,17,4,13,196.82
12/20/2016,13,0,13,200.44
12/21/2016,24,2,22,223.19
12/22/2016,43,1,42,558.11
12/23/2016,149,10,139,"1,910.42"
12/24/2016,132,5,127,"1,744.40"
12/25/2016,174,23,151,"2,071.35"
12/26/2016,111,9,102,"1,422.47"
12/27/2016,82,20,62,842.16
12/28/2016,103,13,90,"1,201.27"
12/29/2016,81,19,62,817.44
12/30/2016,60,7,53,668.75
12/31/2016,84,8,76,998.90
1/1/2017,76,5,71,896.62
1/2/2017,57,6,51,656.97
1/3/2017,32,11,21,370.71
1/4/2017,33,9,24,414.61
1/5/2017,33,9,24,326.45
1/6/2017,38,17,21,309.20
1/7/2017,46,11,35,559.98
1/8/2017,55,9,46,757.21
1/9/2017,26,8,18,308.69
1/10/2017,20,6,14,241.61
1/11/2017,28,7,21,294.91
1/12/2017,27,3,24,381.97
1/13/2017,41,6,35,516.10
1/14/2017,58,7,51,725.89
1/15/2017,39,6,33,599.98
1/16/2017,39,5,34,448.73
1/17/2017,41,10,31,403.63
1/18/2017,27,3,24,383.25
1/19/2017,17,2,15,185.45
1/20/2017,30,5,25,435.71
1/21/2017,39,3,36,614.02
1/22/2017,37,5,32,525.37
1/23/2017,34,7,27,454.40
1/24/2017,43,4,39,507.15
1/25/2017,58,13,45,461.41
1/26/2017,51,22,29,307.22
1/27/2017,48,10,38,480.62
1/28/2017,65,17,48,669.14
1/29/2017,42,5,37,512.29
1/30/2017,45,7,38,482.03
1/31/2017,36,4,32,419.73
2/1/2017,49,6,43,564.60
2/2/2017,44,6,38,401.04
2/3/2017,53,9,44,589.81
2/4/2017,57,10,47,762.02
2/5/2017,67,12,55,813.38
2/6/2017,32,6,26,346.77
2/7/2017,28,9,19,195.86