date,net sales,returns
9/20/2013,32317,7
9/28/2013,24057,13
10/6/2013,8268,10
10/14/2013,4031,9
10/22/2013,3410,8
10/30/2013,2649,11
11/7/2013,2245,1
11/15/2013,2401,11
11/23/2013,11571,13
12/1/2013,2286,6
12/9/2013,1144,7
12/17/2013,3184,5
12/25/2013,14565,5
1/2/2014,14124,10
1/10/2014,1702,8
1/18/2014,1281,9
1/26/2014,1103,7
2/3/2014,855,1
2/11/2014,873,3
2/19/2014,716,2
2/27/2014,660,1
3/7/2014,588,4
3/15/2014,535,3
3/23/2014,492,3
3/31/2014,409,3
4/8/2014,707,3
4/16/2014,393,2
4/24/2014,443,0
5/2/2014,466,1
5/10/2014,589,0
5/18/2014,870,1
5/26/2014,344,2
6/3/2014,408,1
6/11/2014,421,0
6/19/2014,5646,1
6/27/2014,928,2
7/5/2014,379,0
7/13/2014,610,0
7/21/2014,326,3
7/29/2014,334,0
8/6/2014,335,0
8/14/2014,367,1
8/22/2014,380,1
8/30/2014,395,0
9/7/2014,309,0
9/15/2014,295,2
9/23/2014,526,0
10/1/2014,554,0
10/9/2014,412,4
10/17/2014,431,0
10/25/2014,448,0
11/2/2014,393,1
11/10/2014,357,0
11/18/2014,280,0
11/26/2014,230,0
12/4/2014,344,0
12/12/2014,459,0
12/20/2014,926,0
12/28/2014,791,0
1/5/2015,507,0
1/13/2015,453,0
1/21/2015,444,0
1/29/2015,394,0
2/6/2015,395,1
2/14/2015,396,1
2/22/2015,367,1
3/2/2015,514,1
3/10/2015,256,1
3/18/2015,245,1
3/26/2015,266,0
4/3/2015,286,0
4/11/2015,228,2
4/19/2015,238,0
4/27/2015,230,1
5/5/2015,281,2
5/13/2015,208,0
5/21/2015,238,-1
5/29/2015,212,30
6/6/2015,275,43
6/14/2015,277,27
6/22/2015,175,25
6/30/2015,242,25
7/8/2015,209,23
7/16/2015,228,20
7/24/2015,222,21
8/1/2015,180,7
8/9/2015,200,15
8/17/2015,196,14
8/25/2015,192,24
9/2/2015,154,14
9/10/2015,141,8
9/18/2015,157,10
9/26/2015,163,16
10/4/2015,124,13
10/12/2015,131,11
10/20/2015,123,13
10/28/2015,233,18
11/5/2015,164,22
11/13/2015,134,22
11/21/2015,217,21
11/29/2015,176,27
12/7/2015,127,18
12/15/2015,167,36
12/23/2015,522,46
12/31/2015,313,48
1/8/2016,161,28
1/16/2016,145,27
1/24/2016,117,25
2/1/2016,113,16
2/9/2016,105,21
2/17/2016,177,16
2/25/2016,228,36
3/4/2016,239,34
3/12/2016,276,36
3/20/2016,274,54
3/28/2016,222,30
4/5/2016,128,23
4/13/2016,148,24
4/21/2016,146,26
4/29/2016,150,20
5/7/2016,169,25
5/15/2016,179,32
5/23/2016,160,44
5/31/2016,146,20
6/8/2016,200,28
6/16/2016,282,39
6/24/2016,493,78
7/2/2016,357,43
7/10/2016,265,46
7/18/2016,226,39
7/26/2016,316,51
8/3/2016,274,44
8/11/2016,319,47
8/19/2016,280,54
8/27/2016,269,53
9/4/2016,242,42
9/12/2016,119,23
9/20/2016,137,17
9/28/2016,203,27
10/6/2016,269,45
10/14/2016,211,31
10/22/2016,269,24
10/30/2016,247,35
11/7/2016,212,33
11/15/2016,133,20
11/23/2016,132,14
12/1/2016,135,13
12/9/2016,161,17
12/17/2016,399,24
12/25/2016,667,104
1/2/2017,240,80
1/10/2017,243,50
1/18/2017,243,42
1/26/2017,303,77
2/3/2017,216,51